#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8611871|2016-10-22T05:24:56.260000|42.7707|13.1322|6.0|SURVEY-INGV||||ML|2.9|--|Perugia
8613741|2016-10-22T08:25:17.980000|43.5322|13.7963|8.8|SURVEY-INGV||||ML|2.3|--|Costa Marchigiana Maceratese (Macerata)
8619881|2016-10-22T20:33:55.250000|42.8227|13.1825|9.2|SURVEY-INGV||||ML|2.2|--|Perugia
8620451|2016-10-22T21:28:39.130000|44.6183|6.8198|7.8|SURVEY-INGV||||ML|2.0|--|Confine Italia-Francia (FRANCIA)
8621011|2016-10-22T22:22:15.620000|42.7667|13.1687|12.6|SURVEY-INGV||||ML|2.6|--|Perugia
8623231|2016-10-23T01:48:12.400000|42.5572|13.2663|12.2|SURVEY-INGV||||ML|2.5|--|L'Aquila
8623401|2016-10-23T02:15:40.010000|42.7022|13.1168|14.6|SURVEY-INGV||||ML|2.3|--|Perugia
8624431|2016-10-23T04:23:16.210000|46.5108|9.5497|9.7|SURVEY-INGV||||ML|2.0|--|Confine Italia-Svizzera (SVIZZERA)
8626611|2016-10-23T08:18:35.800000|43.188|11.0537|5.8|SURVEY-INGV||||ML|3.0|--|Siena
8628931|2016-10-23T13:19:21.170000|42.8318|13.2212|9.7|SURVEY-INGV||||ML|2.2|--|Macerata
8630241|2016-10-23T15:55:45.500000|42.9678|13.1503|8.8|SURVEY-INGV||||ML|2.0|--|Macerata
8630321|2016-10-23T16:01:45.700000|42.6352|13.2467|12.2|SURVEY-INGV||||ML|2.2|--|Rieti
8631251|2016-10-23T17:50:42.070000|42.8565|12.84|10.7|SURVEY-INGV||||ML|2.0|--|Perugia
8632521|2016-10-23T20:25:26.191000|43.9805|148.115|19.5|SURVEY-INGV-A||||Mwp|6.0|--|Conflict zone Japan/Russia [Sea]
8633261|2016-10-23T22:06:22.150000|42.3977|12.8593|8.6|SURVEY-INGV||||ML|2.2|--|Rieti
8633441|2016-10-23T22:22:41.000000|42.6225|13.3177|8.9|SURVEY-INGV||||ML|2.8|--|Rieti
8635161|2016-10-24T02:34:24.430000|42.8613|13.2325|9.6|SURVEY-INGV||||ML|2.1|--|Macerata
8635571|2016-10-24T03:27:05.350000|43.3842|12.5377|8.9|SURVEY-INGV||||ML|2.9|--|Perugia
